Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,3.66,3.73,3.65,3.67,1082500,3.67
2016-06-30,3.56,3.67,3.55,3.64,1236100,3.64
2016-06-29,3.62,3.63,3.54,3.58,1817600,3.58
2016-06-28,3.61,3.67,3.59,3.64,1734800,3.556
2016-06-27,3.64,3.69,3.59,3.67,1394300,3.58531
2016-06-24,3.67,3.70,3.56,3.64,2279900,3.556
2016-06-23,3.70,3.72,3.65,3.65,1354800,3.56577
2016-06-22,3.71,3.72,3.675,3.70,1000000,3.61462
2016-06-21,3.67,3.71,3.65,3.69,897800,3.60485
2016-06-20,3.63,3.67,3.63,3.67,709600,3.58531
2016-06-17,3.63,3.66,3.63,3.64,1657900,3.556
2016-06-16,3.64,3.665,3.60,3.63,1856400,3.54623
2016-06-15,3.63,3.66,3.61,3.63,958400,3.54623
2016-06-14,3.64,3.655,3.60,3.62,1084800,3.53646
2016-06-13,3.68,3.68,3.68,3.68,000,3.59508
2016-06-10,3.67,3.70,3.67,3.68,769600,3.59508
2016-06-09,3.64,3.70,3.64,3.69,837600,3.60485
2016-06-08,3.65,3.66,3.63,3.66,604300,3.57554
2016-06-07,3.62,3.66,3.62,3.65,1219900,3.56577
2016-06-06,3.60,3.64,3.59,3.63,987000,3.54623
2016-06-03,3.61,3.625,3.58,3.62,886400,3.53646
2016-06-02,3.62,3.65,3.57,3.60,784800,3.51692
2016-06-01,3.60,3.65,3.58,3.62,893800,3.53646
2016-05-31,3.65,3.65,3.595,3.62,1143800,3.53646
2016-05-30,3.66,3.66,3.625,3.65,782500,3.56577
2016-05-27,3.64,3.67,3.62,3.65,1166800,3.56577
2016-05-26,3.65,3.65,3.56,3.62,1648900,3.53646
2016-05-25,3.65,3.665,3.605,3.66,857400,3.57554
2016-05-24,3.60,3.62,3.565,3.60,1012600,3.51692
2016-05-23,3.57,3.61,3.54,3.59,1401200,3.50715
2016-05-20,3.59,3.60,3.56,3.59,806100,3.50715
2016-05-19,3.64,3.66,3.56,3.59,1140000,3.50715
2016-05-18,3.60,3.62,3.57,3.59,1775500,3.50715
2016-05-17,3.65,3.65,3.61,3.62,1635500,3.53646
2016-05-16,3.61,3.65,3.60,3.62,1129800,3.53646
2016-05-13,3.60,3.64,3.58,3.61,1174600,3.52669
2016-05-12,3.60,3.61,3.55,3.56,1466800,3.47785
2016-05-11,3.63,3.67,3.58,3.59,1732000,3.50715
2016-05-10,3.61,3.65,3.61,3.63,1824100,3.54623
2016-05-09,3.62,3.62,3.56,3.61,1169000,3.52669
2016-05-06,3.60,3.61,3.51,3.61,1249600,3.52669
2016-05-05,3.60,3.62,3.56,3.60,731700,3.51692
2016-05-04,3.64,3.65,3.605,3.61,1367700,3.52669
2016-05-03,3.52,3.65,3.52,3.61,1437500,3.52669
2016-05-02,3.50,3.54,3.485,3.51,886400,3.429
2016-04-29,3.52,3.54,3.49,3.50,1091600,3.41923
2016-04-28,3.51,3.53,3.47,3.51,1425600,3.429
2016-04-27,3.44,3.54,3.44,3.48,1344000,3.39969
2016-04-26,3.42,3.46,3.42,3.45,1900800,3.37038
2016-04-25,3.42,3.42,3.42,3.42,000,3.34108
2016-04-22,3.43,3.45,3.385,3.42,963000,3.34108
2016-04-21,3.46,3.46,3.38,3.41,1328600,3.33131
2016-04-20,3.45,3.45,3.41,3.43,1111800,3.35085
2016-04-19,3.44,3.45,3.41,3.44,1267800,3.36062
2016-04-18,3.38,3.44,3.37,3.41,1034700,3.33131
2016-04-15,3.39,3.42,3.365,3.39,1282300,3.31177
2016-04-14,3.40,3.40,3.35,3.38,780000,3.302
2016-04-13,3.39,3.42,3.37,3.38,790600,3.302
2016-04-12,3.36,3.39,3.34,3.39,721500,3.31177
2016-04-11,3.39,3.39,3.34,3.37,524000,3.29223
2016-04-08,3.36,3.40,3.34,3.38,1993000,3.302
2016-04-07,3.36,3.39,3.33,3.38,1118400,3.302
2016-04-06,3.35,3.36,3.32,3.35,1813100,3.27269
2016-04-05,3.37,3.40,3.33,3.35,902300,3.27269
2016-04-04,3.38,3.41,3.35,3.38,1044300,3.302
2016-04-01,3.40,3.40,3.34,3.37,1136300,3.29223
2016-03-31,3.43,3.45,3.395,3.42,1148400,3.34108
2016-03-30,3.44,3.44,3.405,3.43,899700,3.35085
2016-03-29,3.43,3.45,3.40,3.42,1708800,3.34108
2016-03-28,3.43,3.43,3.43,3.43,000,3.35085
2016-03-25,3.43,3.43,3.43,3.43,000,3.35085
2016-03-24,3.39,3.43,3.36,3.43,1306000,3.35085
2016-03-23,3.38,3.40,3.345,3.40,883000,3.32154
2016-03-22,3.39,3.405,3.35,3.39,1178500,3.31177
2016-03-21,3.40,3.42,3.37,3.39,736300,3.31177
2016-03-18,3.41,3.43,3.38,3.40,1829700,3.32154
2016-03-17,3.35,3.41,3.34,3.40,2817300,3.32154
2016-03-16,3.26,3.32,3.25,3.31,1797400,3.23362
2016-03-15,3.29,3.315,3.24,3.25,1174400,3.175
2016-03-14,3.26,3.29,3.26,3.28,922200,3.20431
2016-03-11,3.31,3.34,3.28,3.30,1326700,3.22385
2016-03-10,3.31,3.33,3.29,3.30,827500,3.22385
2016-03-09,3.26,3.30,3.24,3.30,1005400,3.22385
2016-03-08,3.23,3.28,3.225,3.27,1151200,3.19454
2016-03-07,3.25,3.25,3.20,3.24,1024300,3.16523
2016-03-04,3.33,3.33,3.22,3.22,1720700,3.14569
2016-03-03,3.30,3.33,3.26,3.32,2045100,3.24338
2016-03-02,3.29,3.30,3.26,3.30,1456400,3.22385
2016-03-01,3.23,3.28,3.21,3.27,994400,3.19454
2016-02-29,3.26,3.29,3.23,3.24,1077200,3.16523
2016-02-26,3.24,3.26,3.22,3.26,1289900,3.18477
2016-02-25,3.25,3.29,3.24,3.24,1557400,3.16523
2016-02-24,3.20,3.25,3.19,3.23,1671500,3.15546
2016-02-23,3.19,3.21,3.185,3.21,1590800,3.13592
2016-02-22,3.15,3.23,3.14,3.19,1055900,3.11638
2016-02-19,3.14,3.18,3.13,3.16,909800,3.08708
2016-02-18,3.18,3.21,3.15,3.15,1544400,3.07731
2016-02-17,3.16,3.18,3.11,3.16,1573600,3.08708
2016-02-16,3.10,3.15,3.07,3.15,1838000,3.07731
2016-02-15,3.07,3.10,3.03,3.10,1254800,3.02846
2016-02-12,3.06,3.07,3.00,3.05,1514500,2.97962
2016-02-11,3.05,3.08,3.01,3.08,1105200,3.00892
2016-02-10,3.05,3.06,3.00,3.02,1941100,2.95031
2016-02-09,3.08,3.12,3.06,3.06,2184200,2.98938
2016-02-08,3.10,3.15,3.08,3.13,927800,3.05777
2016-02-05,3.15,3.16,3.10,3.11,1343900,3.03823
2016-02-04,3.10,3.17,3.10,3.15,1465400,3.07731
2016-02-03,3.10,3.12,3.08,3.08,1542700,3.00892
2016-02-02,3.11,3.17,3.11,3.14,1119500,3.06754
2016-02-01,3.10,3.15,3.10,3.12,1220300,3.048
2016-01-29,3.05,3.11,3.04,3.07,1589200,2.99915
2016-01-28,3.07,3.09,3.04,3.05,1906300,2.97962
2016-01-27,3.08,3.085,3.06,3.07,890700,2.99915
2016-01-26,3.08,3.08,3.08,3.08,000,3.00892
2016-01-25,3.07,3.09,3.05,3.08,1444900,3.00892
2016-01-22,3.05,3.07,3.03,3.04,1479900,2.96985
2016-01-21,3.12,3.12,3.01,3.01,2360400,2.94054
2016-01-20,3.10,3.16,3.10,3.12,2446300,3.048
2016-01-19,3.08,3.12,3.055,3.11,1886200,3.03823
2016-01-18,3.08,3.08,3.01,3.06,1795500,2.98938
2016-01-15,3.12,3.15,3.06,3.08,1132700,3.00892
2016-01-14,3.05,3.10,3.05,3.08,2013000,3.00892
2016-01-13,3.09,3.125,3.08,3.11,1369300,3.03823
2016-01-12,3.08,3.13,3.07,3.08,1906800,3.00892
2016-01-11,3.05,3.095,3.05,3.07,2036200,2.99915
2016-01-08,3.05,3.10,3.04,3.07,1681200,2.99915
2016-01-07,3.14,3.16,3.08,3.08,1419400,3.00892
2016-01-06,3.16,3.17,3.08,3.13,1898000,3.05777
2016-01-05,3.15,3.17,3.10,3.10,1441300,3.02846
2016-01-04,3.17,3.22,3.14,3.16,1139500,3.08708
2016-01-01,3.16,3.16,3.16,3.16,000,3.08708
2015-12-31,3.23,3.235,3.16,3.16,933600,3.08708
2015-12-30,3.24,3.24,3.19,3.22,861300,3.14569
2015-12-29,3.17,3.23,3.14,3.20,1862000,3.12615
2015-12-28,3.22,3.22,3.22,3.22,000,3.06471
2015-12-25,3.22,3.22,3.22,3.22,000,3.06471
2015-12-24,3.20,3.24,3.19,3.22,755500,3.06471
2015-12-23,3.21,3.22,3.19,3.21,723700,3.05519
2015-12-22,3.21,3.22,3.16,3.20,917300,3.04567
2015-12-21,3.19,3.20,3.15,3.16,759400,3.0076
2015-12-18,3.15,3.225,3.135,3.21,2351800,3.05519
2015-12-17,3.22,3.24,3.18,3.20,2609400,3.04567
2015-12-16,3.06,3.17,3.04,3.17,2053600,3.01712
2015-12-15,3.04,3.11,3.03,3.03,2284000,2.88387
2015-12-14,3.05,3.07,3.03,3.03,1965700,2.88387
2015-12-11,3.08,3.13,3.065,3.07,1479800,2.92194
2015-12-10,3.13,3.135,3.04,3.06,3273700,2.91242
2015-12-09,3.16,3.17,3.14,3.16,1237500,3.0076
2015-12-08,3.14,3.21,3.14,3.16,1632400,3.0076
2015-12-07,3.14,3.18,3.13,3.16,1522000,3.0076
2015-12-04,3.17,3.19,3.10,3.12,2189200,2.96953
2015-12-03,3.25,3.255,3.19,3.21,1290600,3.05519
2015-12-02,3.26,3.28,3.235,3.26,1143500,3.10278
2015-12-01,3.19,3.28,3.18,3.25,1130900,3.09326
2015-11-30,3.19,3.21,3.18,3.18,1385300,3.02663
2015-11-27,3.19,3.21,3.18,3.19,769900,3.03615
2015-11-26,3.14,3.19,3.13,3.17,1395200,3.01712
2015-11-25,3.21,3.22,3.13,3.13,1577500,2.97905
2015-11-24,3.20,3.23,3.19,3.19,927800,3.03615
2015-11-23,3.18,3.25,3.18,3.21,1024300,3.05519
2015-11-20,3.17,3.21,3.16,3.18,1041200,3.02663
2015-11-19,3.18,3.18,3.13,3.17,1981200,3.01712
2015-11-18,3.12,3.175,3.10,3.15,1836300,2.99808
2015-11-17,3.08,3.12,3.06,3.12,1483000,2.96953
2015-11-16,3.10,3.10,3.055,3.06,1526300,2.91242
2015-11-13,3.15,3.16,3.11,3.12,1259900,2.96953
2015-11-12,3.13,3.18,3.13,3.18,676600,3.02663
2015-11-11,3.16,3.19,3.15,3.15,1442400,2.99808
2015-11-10,3.19,3.19,3.13,3.15,1567400,2.99808
2015-11-09,3.25,3.26,3.185,3.19,972700,3.03615
2015-11-06,3.26,3.29,3.26,3.26,924400,3.10278
2015-11-05,3.30,3.31,3.24,3.26,1128200,3.10278
2015-11-04,3.24,3.32,3.22,3.30,2350700,3.14085
2015-11-03,3.21,3.24,3.19,3.22,1194200,3.06471
2015-11-02,3.23,3.23,3.16,3.18,780700,3.02663
2015-10-30,3.22,3.235,3.19,3.22,850600,3.06471
2015-10-29,3.22,3.245,3.21,3.22,882500,3.06471
2015-10-28,3.21,3.24,3.20,3.20,918000,3.04567
2015-10-27,3.20,3.23,3.19,3.20,748700,3.04567
