Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.26,1.26,1.20,1.205,10300,1.205
2016-06-30,1.225,1.27,1.225,1.26,21900,1.26
2016-06-29,1.20,1.24,1.20,1.20,19000,1.20
2016-06-28,1.15,1.18,1.13,1.18,28300,1.18
2016-06-27,1.155,1.245,1.155,1.20,32600,1.20
2016-06-24,1.15,1.15,1.06,1.10,99300,1.10
2016-06-23,1.17,1.17,1.15,1.15,22500,1.15
2016-06-22,1.17,1.18,1.17,1.17,64500,1.17
2016-06-21,1.18,1.20,1.17,1.17,70000,1.17
2016-06-20,1.25,1.25,1.18,1.19,87900,1.19
2016-06-17,1.22,1.25,1.22,1.25,101300,1.25
2016-06-16,1.155,1.22,1.155,1.22,200900,1.22
2016-06-15,1.20,1.20,1.18,1.18,97300,1.18
2016-06-14,1.18,1.2075,1.18,1.20,238400,1.20
2016-06-13,1.18,1.18,1.18,1.18,000,1.18
2016-06-10,1.20,1.20,1.16,1.18,416600,1.18
2016-06-09,1.24,1.24,1.16,1.18,179100,1.18
2016-06-08,1.29,1.29,1.235,1.24,78800,1.24
2016-06-07,1.37,1.37,1.24,1.30,73500,1.30
2016-06-06,1.46,1.47,1.40,1.40,43000,1.40
2016-06-03,1.49,1.49,1.46,1.46,26400,1.46
2016-06-02,1.55,1.55,1.50,1.50,12100,1.50
2016-06-01,1.55,1.55,1.52,1.52,3200,1.52
2016-05-31,1.50,1.50,1.50,1.50,000,1.50
2016-05-30,1.50,1.50,1.50,1.50,000,1.50
2016-05-27,1.50,1.50,1.50,1.50,7300,1.50
2016-05-26,1.50,1.50,1.50,1.50,1800,1.50
2016-05-25,1.50,1.50,1.50,1.50,600,1.50
2016-05-24,1.50,1.51,1.50,1.51,34200,1.51
2016-05-23,1.50,1.50,1.50,1.50,000,1.50
2016-05-20,1.50,1.50,1.50,1.50,000,1.50
2016-05-19,1.50,1.50,1.50,1.50,31100,1.50
2016-05-18,1.52,1.52,1.50,1.50,500,1.50
2016-05-17,1.55,1.55,1.55,1.55,000,1.55
2016-05-16,1.55,1.55,1.55,1.55,6000,1.55
2016-05-13,1.51,1.55,1.50,1.55,4900,1.55
2016-05-12,1.49,1.49,1.49,1.49,300,1.49
2016-05-11,1.50,1.55,1.48,1.48,26800,1.48
2016-05-10,1.43,1.45,1.43,1.45,4800,1.45
2016-05-09,1.40,1.40,1.40,1.40,5400,1.40
2016-05-06,1.37,1.37,1.37,1.37,000,1.37
2016-05-05,1.38,1.38,1.35,1.37,11200,1.37
2016-05-04,1.36,1.36,1.36,1.36,600,1.36
2016-05-03,1.30,1.30,1.30,1.30,000,1.30
2016-05-02,1.30,1.30,1.30,1.30,000,1.30
2016-04-29,1.30,1.30,1.30,1.30,000,1.30
2016-04-28,1.345,1.345,1.30,1.30,11600,1.30
2016-04-27,1.38,1.38,1.38,1.38,000,1.38
2016-04-26,1.38,1.38,1.38,1.38,000,1.38
2016-04-25,1.38,1.38,1.38,1.38,000,1.38
2016-04-22,1.38,1.38,1.38,1.38,13800,1.38
2016-04-21,1.345,1.345,1.345,1.345,3900,1.345
2016-04-20,1.345,1.345,1.345,1.345,6200,1.345
2016-04-19,1.30,1.345,1.30,1.345,41100,1.345
2016-04-18,1.29,1.29,1.29,1.29,000,1.29
2016-04-15,1.31,1.31,1.29,1.29,32700,1.29
2016-04-14,1.29,1.29,1.29,1.29,000,1.29
2016-04-13,1.29,1.29,1.29,1.29,4400,1.29
2016-04-12,1.39,1.39,1.39,1.39,000,1.39
2016-04-11,1.39,1.39,1.39,1.39,700,1.39
2016-04-08,1.39,1.39,1.39,1.39,000,1.39
2016-04-07,1.39,1.39,1.39,1.39,000,1.39
2016-04-06,1.39,1.39,1.39,1.39,000,1.39
2016-04-05,1.325,1.39,1.325,1.39,19300,1.39
2016-04-04,1.325,1.325,1.285,1.285,7700,1.285
2016-04-01,1.325,1.325,1.325,1.325,000,1.325
2016-03-31,1.325,1.325,1.325,1.325,5300,1.325
2016-03-30,1.285,1.285,1.285,1.285,000,1.285
2016-03-29,1.285,1.285,1.285,1.285,000,1.285
2016-03-28,1.285,1.285,1.285,1.285,000,1.285
2016-03-25,1.285,1.285,1.285,1.285,000,1.285
2016-03-24,1.285,1.285,1.285,1.285,5700,1.285
2016-03-23,1.29,1.29,1.29,1.29,000,1.29
2016-03-22,1.29,1.29,1.29,1.29,000,1.29
2016-03-21,1.30,1.30,1.29,1.29,12200,1.29
