Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,4.73,4.80,4.66,4.72,82000,4.72
2016-06-30,4.75,4.81,4.70,4.71,32900,4.71
2016-06-29,4.67,4.79,4.67,4.77,67500,4.77
2016-06-28,4.75,4.79,4.59,4.67,111300,4.67
2016-06-27,4.72,4.81,4.72,4.75,323500,4.75
2016-06-24,4.95,4.97,4.60,4.73,231900,4.73
2016-06-23,4.98,4.99,4.87,4.93,196300,4.93
2016-06-22,4.80,4.90,4.80,4.89,83300,4.89
2016-06-21,4.73,4.78,4.66,4.75,100200,4.75
2016-06-20,4.71,4.81,4.65,4.69,371600,4.69
2016-06-17,4.75,4.76,4.61,4.70,1757800,4.70
2016-06-16,4.98,4.98,4.73,4.80,72200,4.80
2016-06-15,4.70,4.94,4.70,4.92,167500,4.92
2016-06-14,4.81,4.83,4.65,4.80,172200,4.80
2016-06-13,4.84,4.84,4.84,4.84,000,4.84
2016-06-10,4.85,4.94,4.80,4.84,127300,4.84
2016-06-09,4.90,4.99,4.845,4.88,254300,4.88
2016-06-08,5.13,5.20,4.86,4.89,385200,4.89
2016-06-07,4.93,5.12,4.93,5.09,367700,5.09
2016-06-06,4.84,5.05,4.82,4.90,563500,4.90
2016-06-03,4.55,4.77,4.55,4.73,484600,4.73
2016-06-02,4.51,4.65,4.45,4.55,529400,4.55
2016-06-01,4.52,4.56,4.46,4.49,79800,4.49
2016-05-31,4.59,4.59,4.52,4.55,227600,4.55
2016-05-30,4.60,4.65,4.55,4.57,105600,4.57
2016-05-27,4.54,4.61,4.52,4.55,74900,4.55
2016-05-26,4.51,4.60,4.48,4.56,117400,4.56
2016-05-25,4.55,4.60,4.50,4.51,217600,4.51
2016-05-24,4.61,4.695,4.50,4.55,107300,4.55
2016-05-23,4.49,4.685,4.47,4.61,261200,4.61
2016-05-20,4.38,4.50,4.35,4.47,220200,4.47
2016-05-19,4.50,4.50,4.30,4.38,354100,4.38
2016-05-18,4.62,4.62,4.34,4.47,296000,4.47
2016-05-17,4.63,4.71,4.56,4.60,308100,4.60
2016-05-16,4.90,4.90,4.62,4.65,311000,4.65
2016-05-13,4.95,4.97,4.78,4.82,296200,4.82
2016-05-12,4.90,4.98,4.85,4.93,262400,4.93
2016-05-11,4.95,5.05,4.85,4.91,501500,4.91
2016-05-10,4.85,4.95,4.84,4.94,360800,4.94
2016-05-09,4.84,4.915,4.80,4.85,230700,4.85
2016-05-06,4.82,4.87,4.79,4.84,250100,4.84
2016-05-05,4.85,4.85,4.70,4.80,217200,4.80
2016-05-04,4.81,4.84,4.71,4.79,86100,4.79
2016-05-03,4.85,4.90,4.71,4.76,210900,4.76
2016-05-02,4.80,4.94,4.78,4.85,498100,4.85
2016-04-29,4.75,4.85,4.70,4.77,211900,4.77
2016-04-28,4.62,4.77,4.62,4.70,1067500,4.70
2016-04-27,4.62,4.63,4.55,4.60,526000,4.60
2016-04-26,4.59,4.79,4.50,4.63,311300,4.63
2016-04-25,4.57,4.57,4.57,4.57,000,4.57
2016-04-22,4.34,4.57,4.27,4.57,249200,4.57
2016-04-21,4.30,4.37,4.26,4.32,228000,4.32
2016-04-20,4.25,4.32,4.17,4.25,1058700,4.25
2016-04-19,4.45,4.47,4.28,4.28,309900,4.28
2016-04-18,4.40,4.46,4.40,4.45,155900,4.45
2016-04-15,4.41,4.45,4.34,4.36,146800,4.36
2016-04-14,4.40,4.51,4.33,4.41,402000,4.41
2016-04-13,4.48,4.75,4.33,4.35,662500,4.35
2016-04-12,4.92,4.97,4.16,4.34,1899800,4.34
2016-04-11,4.68,5.00,4.68,4.88,535200,4.88
2016-04-08,4.60,4.66,4.54,4.65,140600,4.65
2016-04-07,4.50,4.70,4.43,4.50,791800,4.50
2016-04-06,4.50,4.50,4.40,4.49,143400,4.49
2016-04-05,4.48,4.64,4.42,4.50,300200,4.50
2016-04-04,4.28,4.49,4.24,4.48,210100,4.48
2016-04-01,4.28,4.30,4.22,4.28,54200,4.28
2016-03-31,4.32,4.35,4.26,4.28,93300,4.28
2016-03-30,4.20,4.34,4.13,4.28,304700,4.28
2016-03-29,4.06,4.22,4.05,4.18,127700,4.18
2016-03-28,4.11,4.11,4.11,4.11,000,4.11
2016-03-25,4.11,4.11,4.11,4.11,000,4.11
2016-03-24,4.15,4.19,4.08,4.11,167200,4.11
2016-03-23,4.25,4.29,4.17,4.17,206800,4.17
2016-03-22,4.29,4.30,4.22,4.25,100000,4.25
2016-03-21,4.31,4.32,4.21,4.24,206800,4.24
2016-03-18,4.20,4.31,4.18,4.31,1820100,4.31
2016-03-17,4.30,4.34,4.20,4.27,168300,4.27
2016-03-16,4.20,4.36,4.17,4.30,225400,4.30
2016-03-15,4.29,4.29,4.18,4.26,134500,4.26
2016-03-14,4.12,4.32,4.12,4.23,386500,4.23
2016-03-11,4.04,4.19,4.01,4.09,212700,4.09
2016-03-10,4.09,4.13,4.04,4.05,180200,4.05
2016-03-09,4.02,4.10,4.00,4.03,179000,4.03
2016-03-08,4.22,4.22,4.02,4.04,346000,4.04
2016-03-07,4.25,4.25,4.04,4.22,191700,4.22
2016-03-04,4.30,4.32,4.08,4.18,802200,4.18
2016-03-03,4.11,4.27,4.11,4.25,423200,4.25
2016-03-02,4.07,4.13,3.98,4.13,253600,4.13
2016-03-01,4.14,4.14,3.95,4.02,598800,4.02
2016-02-29,3.97,4.24,3.97,4.14,335900,4.14
2016-02-26,4.10,4.24,3.91,3.94,402100,3.94
2016-02-25,4.08,4.10,3.86,4.07,430800,4.07
2016-02-24,4.23,4.23,4.08,4.10,111900,4.10
2016-02-23,4.17,4.35,4.17,4.24,204500,4.24
2016-02-22,4.28,4.28,4.08,4.17,322800,4.17
2016-02-19,4.40,4.40,4.25,4.27,248000,4.27
2016-02-18,4.36,4.40,4.30,4.33,221500,4.33
2016-02-17,4.50,4.505,4.30,4.36,339600,4.36
2016-02-16,4.59,4.59,4.35,4.50,678400,4.50
2016-02-15,4.50,4.60,4.46,4.54,969200,4.54
2016-02-12,4.42,4.45,4.30,4.38,730500,4.38
2016-02-11,4.05,4.48,4.03,4.41,1705100,4.41
2016-02-10,4.20,4.68,3.85,3.90,4060700,3.90
2016-02-09,3.87,3.94,3.81,3.87,1121100,3.87
2016-02-08,3.80,3.90,3.75,3.86,286600,3.86
2016-02-05,3.90,3.99,3.70,3.85,504700,3.85
2016-02-04,3.90,4.00,3.85,3.86,273400,3.86
2016-02-03,3.70,3.98,3.69,3.85,408100,3.85
2016-02-02,3.66,3.79,3.66,3.71,253300,3.71
2016-02-01,3.79,3.80,3.61,3.66,249900,3.66
2016-01-29,3.78,3.85,3.61,3.77,146000,3.77
2016-01-28,3.82,3.85,3.72,3.77,179600,3.77
2016-01-27,3.93,3.96,3.80,3.81,251400,3.81
2016-01-26,3.91,3.91,3.91,3.91,000,3.91
2016-01-25,3.82,3.95,3.81,3.91,204200,3.91
2016-01-22,3.74,3.82,3.72,3.80,324800,3.80
2016-01-21,3.46,3.70,3.46,3.69,302800,3.69
2016-01-20,3.48,3.63,3.46,3.50,289600,3.50
2016-01-19,3.30,3.52,3.25,3.46,575900,3.46
2016-01-18,3.27,3.31,3.16,3.31,258100,3.31
2016-01-15,3.24,3.26,3.18,3.20,268300,3.20
2016-01-14,3.18,3.25,3.16,3.24,191900,3.24
2016-01-13,3.30,3.42,3.23,3.24,266200,3.24
2016-01-12,3.21,3.40,3.20,3.30,380500,3.30
2016-01-11,3.39,3.43,3.24,3.29,246000,3.29
2016-01-08,3.16,3.44,3.06,3.40,535900,3.40
2016-01-07,3.64,3.64,3.28,3.36,335000,3.36
2016-01-06,3.73,3.75,3.60,3.60,115000,3.60
2016-01-05,3.76,3.78,3.66,3.69,156900,3.69
2016-01-04,3.60,3.82,3.58,3.77,301800,3.77
2016-01-01,3.57,3.57,3.57,3.57,000,3.57
2015-12-31,3.58,3.59,3.54,3.57,81500,3.57
2015-12-30,3.56,3.60,3.54,3.55,354300,3.55
2015-12-29,3.51,3.59,3.50,3.52,172300,3.52
2015-12-28,3.46,3.46,3.46,3.46,000,3.46
2015-12-25,3.46,3.46,3.46,3.46,000,3.46
2015-12-24,3.49,3.50,3.45,3.46,81600,3.46
2015-12-23,3.51,3.52,3.42,3.50,484900,3.50
2015-12-22,3.41,3.60,3.41,3.50,548500,3.50
2015-12-21,3.29,3.41,3.25,3.41,476400,3.41
2015-12-18,3.08,3.36,3.08,3.25,788100,3.25
2015-12-17,3.02,3.09,3.02,3.05,536500,3.05
2015-12-16,3.07,3.07,2.98,3.02,215900,3.02
2015-12-15,3.06,3.08,3.02,3.06,233500,3.06
2015-12-14,2.95,3.09,2.93,3.08,499800,3.08
2015-12-11,2.75,2.94,2.75,2.94,901100,2.94
2015-12-10,2.84,2.84,2.70,2.70,151600,2.70
2015-12-09,2.84,2.85,2.83,2.85,465400,2.85
2015-12-08,2.80,2.85,2.79,2.85,326800,2.85
2015-12-07,2.85,2.85,2.78,2.78,252900,2.78
2015-12-04,2.75,2.81,2.73,2.81,260300,2.81
2015-12-03,2.69,2.75,2.60,2.75,490800,2.75
2015-12-02,2.77,2.78,2.67,2.69,220400,2.69
2015-12-01,2.75,2.80,2.66,2.75,420300,2.75
2015-11-30,2.80,2.85,2.70,2.80,287600,2.80
2015-11-27,2.78,2.90,2.75,2.80,410700,2.80
2015-11-26,2.83,2.84,2.64,2.70,427800,2.70
2015-11-25,2.72,2.85,2.70,2.80,879900,2.80
2015-11-24,2.70,2.72,2.61,2.70,621400,2.70
2015-11-23,2.41,2.64,2.41,2.60,1018500,2.60
2015-11-20,2.31,2.39,2.29,2.39,330300,2.39
2015-11-19,2.33,2.36,2.29,2.32,343700,2.32
2015-11-18,2.33,2.35,2.27,2.33,9145800,2.33
2015-11-17,2.41,2.47,2.33,2.33,471600,2.33
2015-11-16,2.40,2.45,2.30,2.40,1140500,2.40
2015-11-13,2.30,2.40,2.25,2.35,767500,2.35
2015-11-12,2.30,2.45,2.24,2.27,1314700,2.27
2015-11-11,2.12,2.32,2.03,2.26,9473100,2.26
