Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,12.46,12.46,12.245,12.32,3312100,12.32
2016-06-30,12.33,12.39,12.12,12.39,6506500,12.39
2016-06-29,12.04,12.12,11.86,12.09,4277600,12.09
2016-06-28,11.77,12.02,11.75,11.92,5002500,11.92
2016-06-27,12.00,12.23,11.97,11.97,5212200,11.97
2016-06-24,12.71,12.74,12.115,12.20,4788100,12.20
2016-06-23,12.68,12.715,12.60,12.60,2907000,12.60
2016-06-22,12.75,12.80,12.63,12.71,2984100,12.71
2016-06-21,12.53,12.64,12.43,12.62,2903200,12.62
2016-06-20,12.50,12.50,12.36,12.43,2886300,12.43
2016-06-17,12.27,12.37,12.20,12.34,3834900,12.34
2016-06-16,12.30,12.42,12.23,12.25,8296900,12.25
2016-06-15,12.30,12.455,12.30,12.30,4152100,12.30
2016-06-14,12.39,12.68,12.39,12.43,4544700,12.43
2016-06-13,12.57,12.57,12.57,12.57,000,12.57
2016-06-10,12.58,12.615,12.50,12.57,2705200,12.57
2016-06-09,12.73,12.79,12.51,12.61,4255700,12.61
2016-06-08,12.75,12.805,12.67,12.75,3902000,12.75
2016-06-07,12.76,12.87,12.76,12.80,1873200,12.80
2016-06-06,12.84,12.86,12.72,12.77,2518100,12.77
2016-06-03,12.90,12.90,12.77,12.84,2186700,12.84
2016-06-02,12.79,12.88,12.625,12.70,2225800,12.70
2016-06-01,12.71,12.81,12.65,12.72,3426400,12.72
2016-05-31,12.90,12.96,12.78,12.85,4993200,12.85
2016-05-30,12.94,13.02,12.84,12.90,2315000,12.90
2016-05-27,13.03,13.18,12.92,12.92,4392100,12.92
2016-05-26,12.99,13.03,12.89,13.00,4105200,13.00
2016-05-25,12.93,12.99,12.74,12.85,3563700,12.85
2016-05-24,12.76,12.80,12.72,12.73,2007200,12.73
2016-05-23,12.88,12.955,12.73,12.73,2379900,12.73
2016-05-20,12.75,12.86,12.72,12.82,2385600,12.82
2016-05-19,12.74,12.82,12.695,12.72,4136000,12.72
2016-05-18,13.00,13.00,12.66,12.66,4488900,12.66
2016-05-17,13.14,13.14,12.95,13.05,2051400,13.05
2016-05-16,13.07,13.16,12.925,12.97,2327100,12.97
2016-05-13,13.08,13.13,12.97,13.03,2799900,13.03
2016-05-12,13.09,13.09,12.86,12.91,3661000,12.91
2016-05-11,13.17,13.255,13.08,13.08,4323400,13.08
2016-05-10,13.08,13.15,13.005,13.11,3292400,13.11
2016-05-09,13.01,13.10,12.945,13.09,3379500,13.09
2016-05-06,12.76,13.06,12.64,13.05,4959600,13.05
2016-05-05,12.67,12.78,12.62,12.76,3224400,12.76
2016-05-04,12.70,12.82,12.60,12.61,3495000,12.61
2016-05-03,12.54,12.77,12.53,12.72,3879000,12.72
2016-05-02,12.45,12.53,12.25,12.50,3175400,12.50
2016-04-29,12.56,12.56,12.39,12.48,2463300,12.48
2016-04-28,12.49,12.56,12.32,12.48,2677900,12.48
2016-04-27,12.61,12.70,12.43,12.45,2900800,12.45
2016-04-26,12.36,12.71,12.31,12.57,3447400,12.57
2016-04-25,12.51,12.51,12.51,12.51,000,12.51
2016-04-22,12.65,12.79,12.51,12.51,4042900,12.51
2016-04-21,12.70,12.70,12.53,12.66,3273100,12.66
2016-04-20,12.51,12.60,12.46,12.51,2653600,12.51
2016-04-19,12.56,12.60,12.39,12.41,3633100,12.41
2016-04-18,12.07,12.36,12.04,12.36,2897100,12.36
2016-04-15,11.95,12.08,11.92,12.07,2972100,12.07
2016-04-14,11.95,12.04,11.87,12.02,1818300,12.02
2016-04-13,12.08,12.09,11.89,12.01,2199500,12.01
2016-04-12,11.91,12.02,11.86,11.96,1414600,11.96
2016-04-11,12.09,12.10,11.905,11.98,1319900,11.98
2016-04-08,11.90,12.15,11.90,12.06,1453900,12.06
2016-04-07,12.17,12.17,12.005,12.08,1645100,12.08
2016-04-06,12.05,12.19,11.98,12.11,2728200,12.11
2016-04-05,12.15,12.24,12.00,12.05,2702700,12.05
2016-04-04,12.14,12.30,12.04,12.11,2092800,12.11
2016-04-01,12.06,12.11,11.92,12.02,2238400,12.02
2016-03-31,12.19,12.23,12.035,12.12,3696600,12.12
2016-03-30,12.10,12.19,12.06,12.09,3125400,12.09
2016-03-29,12.30,12.43,11.97,11.97,2261200,11.97
2016-03-28,12.26,12.26,12.26,12.26,000,12.26
2016-03-25,12.26,12.26,12.26,12.26,000,12.26
2016-03-24,12.13,12.40,12.025,12.26,3550900,12.26
2016-03-23,12.11,12.16,11.92,12.13,2288900,12.13
2016-03-22,12.08,12.18,12.00,12.10,2680900,12.10
2016-03-21,12.04,12.15,12.00,12.07,1984100,12.07
2016-03-18,12.17,12.20,11.97,11.98,4098000,11.98
2016-03-17,12.25,12.29,12.08,12.10,4712100,12.10
2016-03-16,12.00,12.17,11.95,12.17,3494600,12.17
2016-03-15,12.23,12.30,12.01,12.11,4519400,12.11
2016-03-14,12.37,12.41,12.23,12.30,2277500,12.30
2016-03-11,12.35,12.44,12.26,12.32,2573200,12.32
2016-03-10,12.52,12.64,12.31,12.38,7415700,12.38
2016-03-09,12.65,12.87,12.50,12.85,3978800,12.6895
2016-03-08,12.31,12.52,12.22,12.50,3780900,12.34387
2016-03-07,12.37,12.47,12.295,12.32,3643700,12.16612
2016-03-04,12.48,12.48,12.22,12.37,3372900,12.2155
2016-03-03,12.44,12.52,12.28,12.50,5834300,12.34387
2016-03-02,12.83,12.85,12.49,12.54,4143200,12.38337
2016-03-01,12.40,12.72,12.35,12.69,4533900,12.5315
2016-02-29,12.30,12.51,12.20,12.49,5820300,12.334
2016-02-26,12.18,12.32,12.065,12.28,9871200,12.12662
2016-02-25,11.90,12.14,11.86,12.10,5359700,11.94887
2016-02-24,11.56,11.97,11.56,11.80,4991200,11.65261
2016-02-23,12.00,12.06,11.72,11.81,11449200,11.66249
2016-02-22,11.46,12.10,11.46,12.00,8184500,11.85012
2016-02-19,10.94,11.07,10.925,11.06,2393800,10.92186
2016-02-18,10.98,11.02,10.84,10.98,2263000,10.84286
2016-02-17,10.82,10.86,10.725,10.77,3887700,10.63548
2016-02-16,10.84,10.88,10.67,10.82,3119900,10.68485
2016-02-15,10.38,10.70,10.37,10.68,4139300,10.5466
2016-02-12,10.19,10.30,10.17,10.20,2199500,10.0726
2016-02-11,10.20,10.32,10.17,10.27,2277800,10.14173
2016-02-10,10.27,10.27,10.05,10.15,5881800,10.02322
