Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.23,1.23,1.23,1.23,000,1.23
2016-06-30,1.23,1.23,1.23,1.23,10500,1.23
2016-06-29,1.20,1.20,1.20,1.20,800,1.20
2016-06-28,1.23,1.23,1.20,1.20,10000,1.20
2016-06-27,1.215,1.215,1.215,1.215,200,1.215
2016-06-24,1.215,1.215,1.215,1.215,600,1.215
2016-06-23,1.19,1.19,1.19,1.19,000,1.19
2016-06-22,1.14,1.19,1.14,1.19,3800,1.19
2016-06-21,1.21,1.21,1.21,1.21,000,1.21
2016-06-20,1.21,1.21,1.21,1.21,000,1.21
2016-06-17,1.21,1.21,1.21,1.21,000,1.21
2016-06-16,1.21,1.21,1.21,1.21,7300,1.21
2016-06-15,1.145,1.21,1.145,1.21,13200,1.21
2016-06-14,1.10,1.10,1.085,1.085,4500,1.085
2016-06-13,1.20,1.20,1.20,1.20,000,1.20
2016-06-10,1.205,1.205,1.20,1.20,5500,1.20
2016-06-09,1.205,1.205,1.205,1.205,000,1.205
2016-06-08,1.205,1.205,1.205,1.205,4000,1.205
2016-06-07,1.205,1.205,1.205,1.205,500,1.205
2016-06-06,1.20,1.20,1.20,1.20,000,1.20
2016-06-03,1.20,1.20,1.20,1.20,000,1.20
2016-06-02,1.205,1.205,1.20,1.20,14000,1.20
2016-06-01,1.20,1.20,1.20,1.20,10000,1.20
2016-05-31,1.19,1.19,1.19,1.19,000,1.19
2016-05-30,1.19,1.19,1.19,1.19,000,1.19
2016-05-27,1.195,1.195,1.19,1.19,7900,1.19
2016-05-26,1.18,1.18,1.18,1.18,000,1.18
2016-05-25,1.21,1.21,1.18,1.18,25200,1.18
2016-05-24,1.21,1.21,1.21,1.21,000,1.21
2016-05-23,1.21,1.21,1.21,1.21,000,1.21
2016-05-20,1.21,1.21,1.21,1.21,000,1.21
2016-05-19,1.21,1.21,1.21,1.21,500,1.21
2016-05-18,1.21,1.21,1.21,1.21,000,1.21
2016-05-17,1.21,1.21,1.21,1.21,800,1.21
2016-05-16,1.21,1.21,1.21,1.21,100,1.21
2016-05-13,1.205,1.205,1.20,1.20,20600,1.20
2016-05-12,1.21,1.21,1.21,1.21,4900,1.21
2016-05-11,1.23,1.23,1.21,1.21,3100,1.21
2016-05-10,1.23,1.23,1.23,1.23,000,1.23
2016-05-09,1.23,1.23,1.23,1.23,000,1.23
2016-05-06,1.23,1.23,1.23,1.23,000,1.23
2016-05-05,1.23,1.23,1.23,1.23,000,1.23
2016-05-04,1.23,1.23,1.23,1.23,2800,1.23
2016-05-03,1.27,1.27,1.24,1.24,2700,1.24
2016-05-02,1.30,1.30,1.30,1.30,000,1.30
2016-04-29,1.25,1.30,1.25,1.30,13200,1.30
2016-04-28,1.20,1.20,1.20,1.20,500,1.20
2016-04-27,1.20,1.20,1.20,1.20,000,1.20
2016-04-26,1.20,1.20,1.20,1.20,600,1.20
2016-04-25,1.20,1.20,1.20,1.20,000,1.20
2016-04-22,1.20,1.20,1.20,1.20,25000,1.20
2016-04-21,1.20,1.20,1.20,1.20,000,1.20
2016-04-20,1.20,1.20,1.20,1.20,000,1.20
2016-04-19,1.17,1.20,1.17,1.20,10000,1.20
2016-04-18,1.17,1.20,1.17,1.20,18100,1.20
2016-04-15,1.17,1.17,1.17,1.17,5000,1.17
2016-04-14,1.12,1.12,1.12,1.12,000,1.12
2016-04-13,1.12,1.12,1.12,1.12,6100,1.12
2016-04-12,1.11,1.11,1.11,1.11,000,1.11
2016-04-11,1.125,1.125,1.11,1.11,5000,1.11
2016-04-08,1.10,1.10,1.10,1.10,000,1.10
2016-04-07,1.10,1.10,1.10,1.10,000,1.10
2016-04-06,1.10,1.10,1.10,1.10,000,1.10
2016-04-05,1.10,1.10,1.10,1.10,000,1.10
2016-04-04,1.10,1.10,1.10,1.10,000,1.10
2016-04-01,1.10,1.10,1.10,1.10,5000,1.10
2016-03-31,1.10,1.10,1.08,1.08,2800,1.08
2016-03-30,1.08,1.08,1.08,1.08,2100,1.08
2016-03-29,1.06,1.06,1.05,1.05,41600,1.05
2016-03-28,1.05,1.05,1.05,1.05,000,1.05
2016-03-25,1.05,1.05,1.05,1.05,000,1.05
2016-03-24,1.05,1.05,1.015,1.05,2900,1.05
2016-03-23,1.01,1.01,1.01,1.01,000,1.01
2016-03-22,1.01,1.01,1.01,1.01,000,1.01
2016-03-21,1.025,1.025,1.01,1.01,14300,1.01
2016-03-18,1.06,1.06,1.01,1.01,6600,1.01
2016-03-17,1.07,1.07,1.07,1.07,1000,1.02
2016-03-16,1.06,1.06,1.045,1.045,8000,0.99617
2016-03-15,1.08,1.08,1.08,1.08,000,1.02953
2016-03-14,1.08,1.08,1.08,1.08,000,1.02953
2016-03-11,1.08,1.08,1.08,1.08,000,1.02953
2016-03-10,1.08,1.08,1.08,1.08,000,1.02953
2016-03-09,1.08,1.08,1.08,1.08,000,1.02953
2016-03-08,1.08,1.08,1.08,1.08,000,1.02953
2016-03-07,1.08,1.08,1.08,1.08,000,1.02953
2016-03-04,1.075,1.08,1.075,1.08,2000,1.02953
2016-03-03,1.075,1.075,1.075,1.075,000,1.02477
2016-03-02,1.075,1.075,1.075,1.075,9500,1.02477
2016-03-01,1.00,1.00,1.00,1.00,000,0.95327
2016-02-29,1.00,1.00,1.00,1.00,000,0.95327
2016-02-26,1.00,1.00,1.00,1.00,98500,0.95327
2016-02-25,1.01,1.01,1.00,1.00,11200,0.95327
2016-02-24,1.075,1.075,1.075,1.075,000,1.02477
2016-02-23,1.05,1.075,1.05,1.075,1000,1.02477
2016-02-22,0.985,0.985,0.985,0.985,000,0.93897
2016-02-19,0.985,0.985,0.985,0.985,000,0.93897
2016-02-18,0.985,0.985,0.985,0.985,000,0.93897
2016-02-17,0.985,0.985,0.985,0.985,000,0.93897
2016-02-16,0.985,0.985,0.985,0.985,000,0.93897
2016-02-15,1.03,1.03,0.985,0.985,17600,0.93897
2016-02-12,1.06,1.06,1.06,1.06,000,1.01047
2016-02-11,1.06,1.06,1.06,1.06,000,1.01047
2016-02-10,1.025,1.025,1.025,1.025,000,0.9771
2016-02-09,1.06,1.06,1.025,1.025,9000,0.9771
2016-02-08,1.05,1.08,1.05,1.08,3000,1.02953
2016-02-05,1.025,1.025,1.025,1.025,600,0.9771
2016-02-04,1.025,1.025,1.025,1.025,000,0.9771
2016-02-03,1.025,1.025,1.025,1.025,000,0.9771
2016-02-02,1.025,1.025,1.025,1.025,300,0.9771
2016-02-01,1.025,1.025,1.025,1.025,000,0.9771
2016-01-29,1.025,1.025,1.025,1.025,000,0.9771
2016-01-28,1.025,1.025,1.025,1.025,000,0.9771
2016-01-27,1.025,1.025,1.025,1.025,400,0.9771
2016-01-26,1.025,1.025,1.025,1.025,000,0.9771
2016-01-25,1.03,1.03,1.025,1.025,12900,0.9771
2016-01-22,1.02,1.02,1.015,1.015,1900,0.96757
2016-01-21,1.04,1.05,1.04,1.05,5000,1.00093
2016-01-20,0.97,0.97,0.97,0.97,000,0.92467
