Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.09,0.09,0.087,0.087,375500,0.087
2016-06-30,0.09,0.09,0.088,0.089,282000,0.089
2016-06-29,0.095,0.095,0.091,0.092,184900,0.092
2016-06-28,0.10,0.10,0.09,0.092,264700,0.092
2016-06-27,0.105,0.105,0.095,0.105,147000,0.105
2016-06-24,0.105,0.11,0.10,0.105,433600,0.105
2016-06-23,0.11,0.115,0.11,0.115,160900,0.115
2016-06-22,0.11,0.115,0.105,0.115,172100,0.115
2016-06-21,0.115,0.115,0.10,0.11,1282300,0.11
2016-06-20,0.135,0.135,0.135,0.135,000,0.135
2016-06-17,0.135,0.135,0.135,0.135,000,0.135
2016-06-16,0.135,0.135,0.135,0.135,36900,0.135
2016-06-15,0.13,0.135,0.13,0.135,132100,0.135
2016-06-14,0.13,0.13,0.13,0.13,76000,0.13
2016-06-13,0.135,0.135,0.135,0.135,000,0.135
2016-06-10,0.14,0.14,0.135,0.135,52200,0.135
2016-06-09,0.145,0.15,0.14,0.14,57100,0.14
2016-06-08,0.145,0.145,0.145,0.145,110100,0.145
2016-06-07,0.125,0.145,0.125,0.145,229800,0.145
2016-06-06,0.125,0.125,0.125,0.125,196900,0.125
2016-06-03,0.125,0.125,0.125,0.125,30000,0.125
2016-06-02,0.115,0.13,0.115,0.125,164900,0.125
2016-06-01,0.115,0.115,0.115,0.115,180700,0.115
2016-05-31,0.115,0.12,0.11,0.115,77200,0.115
2016-05-30,0.12,0.12,0.115,0.115,107100,0.115
2016-05-27,0.11,0.12,0.11,0.11,119200,0.11
2016-05-26,0.12,0.12,0.11,0.115,180900,0.115
2016-05-25,0.125,0.125,0.115,0.115,922300,0.115
2016-05-24,0.125,0.13,0.125,0.125,84000,0.125
2016-05-23,0.135,0.135,0.13,0.13,30000,0.13
2016-05-20,0.135,0.135,0.135,0.135,000,0.135
2016-05-19,0.135,0.135,0.135,0.135,10000,0.135
2016-05-18,0.13,0.13,0.13,0.13,50800,0.13
2016-05-17,0.135,0.135,0.13,0.13,135600,0.13
2016-05-16,0.135,0.135,0.135,0.135,260000,0.135
2016-05-13,0.135,0.135,0.13,0.13,45600,0.13
2016-05-12,0.13,0.13,0.13,0.13,126900,0.13
2016-05-11,0.135,0.135,0.13,0.135,47900,0.135
2016-05-10,0.13,0.135,0.125,0.135,166000,0.135
2016-05-09,0.135,0.135,0.135,0.135,36000,0.135
2016-05-06,0.13,0.13,0.13,0.13,24500,0.13
2016-05-05,0.13,0.13,0.125,0.125,80500,0.125
2016-05-04,0.135,0.135,0.125,0.125,116900,0.125
2016-05-03,0.135,0.135,0.135,0.135,18500,0.135
2016-05-02,0.14,0.14,0.13,0.13,45000,0.13
2016-04-29,0.12,0.14,0.12,0.14,430300,0.14
2016-04-28,0.125,0.125,0.12,0.12,318200,0.12
2016-04-27,0.125,0.125,0.125,0.125,141700,0.125
2016-04-26,0.13,0.13,0.125,0.13,460000,0.13
2016-04-25,0.13,0.13,0.13,0.13,000,0.13
2016-04-22,0.13,0.13,0.13,0.13,284000,0.13
2016-04-21,0.13,0.135,0.13,0.13,379000,0.13
2016-04-20,0.13,0.13,0.13,0.13,000,0.13
2016-04-19,0.13,0.13,0.125,0.13,128700,0.13
2016-04-18,0.16,0.16,0.12,0.13,1169900,0.13
2016-04-15,0.17,0.175,0.17,0.17,199800,0.17
2016-04-14,0.18,0.18,0.17,0.17,34000,0.17
2016-04-13,0.175,0.175,0.175,0.175,4700,0.175
2016-04-12,0.175,0.175,0.17,0.17,47200,0.17
2016-04-11,0.18,0.18,0.18,0.18,000,0.18
2016-04-08,0.175,0.18,0.17,0.18,61700,0.18
2016-04-07,0.175,0.175,0.17,0.17,70000,0.17
2016-04-06,0.175,0.175,0.17,0.17,110000,0.17
2016-04-05,0.175,0.175,0.175,0.175,4800,0.175
2016-04-04,0.18,0.18,0.18,0.18,4100,0.18
2016-04-01,0.17,0.18,0.17,0.18,28200,0.18
