Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.061,0.064,0.06,0.064,22424300,0.064
2016-06-30,0.052,0.057,0.052,0.057,9170300,0.057
2016-06-29,0.054,0.055,0.05,0.05,6496300,0.05
2016-06-28,0.057,0.057,0.052,0.054,14590300,0.054
2016-06-27,0.062,0.065,0.053,0.054,35073200,0.054
2016-06-24,0.059,0.065,0.047,0.06,81147900,0.06
2016-06-23,0.036,0.036,0.036,0.036,000,0.036
2016-06-22,0.036,0.036,0.036,0.036,000,0.036
2016-06-21,0.031,0.038,0.031,0.036,19710300,0.036
2016-06-20,0.03,0.03,0.028,0.028,2362400,0.028
2016-06-17,0.032,0.032,0.03,0.031,1608300,0.031
2016-06-16,0.03,0.033,0.029,0.031,3847800,0.031
2016-06-15,0.031,0.031,0.029,0.029,2142200,0.029
2016-06-14,0.032,0.032,0.03,0.031,3752400,0.031
2016-06-13,0.03,0.03,0.03,0.03,000,0.03
2016-06-10,0.029,0.0305,0.028,0.03,5055400,0.03
2016-06-09,0.03,0.03,0.028,0.029,7151200,0.029
2016-06-08,0.027,0.03,0.027,0.029,8045400,0.029
2016-06-07,0.028,0.028,0.025,0.027,3725500,0.027
2016-06-06,0.026,0.027,0.026,0.027,2688100,0.027
2016-06-03,0.026,0.026,0.025,0.025,1745500,0.025
2016-06-02,0.024,0.025,0.023,0.023,2289900,0.023
2016-06-01,0.024,0.024,0.024,0.024,000,0.024
2016-05-31,0.024,0.024,0.024,0.024,171900,0.024
2016-05-30,0.022,0.024,0.022,0.024,721700,0.024
2016-05-27,0.023,0.024,0.022,0.022,443900,0.022
2016-05-26,0.023,0.023,0.023,0.023,179600,0.023
2016-05-25,0.025,0.025,0.021,0.024,2592900,0.024
2016-05-24,0.025,0.025,0.025,0.025,94000,0.025
2016-05-23,0.025,0.025,0.024,0.025,1943200,0.025
2016-05-20,0.024,0.025,0.024,0.025,399600,0.025
2016-05-19,0.025,0.025,0.024,0.024,1073000,0.024
2016-05-18,0.026,0.026,0.024,0.024,1037300,0.024
2016-05-17,0.024,0.025,0.024,0.025,705700,0.025
2016-05-16,0.027,0.027,0.025,0.025,2710000,0.025
2016-05-13,0.025,0.026,0.025,0.026,250400,0.026
2016-05-12,0.024,0.025,0.024,0.025,765700,0.025
2016-05-11,0.024,0.024,0.024,0.024,880000,0.024
2016-05-10,0.025,0.025,0.024,0.024,2213400,0.024
2016-05-09,0.027,0.028,0.024,0.024,3278800,0.024
2016-05-06,0.027,0.028,0.027,0.028,434600,0.028
2016-05-05,0.028,0.029,0.027,0.028,3260900,0.028
2016-05-04,0.026,0.027,0.025,0.027,85678200,0.027
2016-05-03,0.027,0.027,0.025,0.026,2321900,0.026
2016-05-02,0.026,0.028,0.026,0.027,9538500,0.027
2016-04-29,0.026,0.026,0.025,0.025,350000,0.025
2016-04-28,0.026,0.028,0.026,0.028,810000,0.028
2016-04-27,0.028,0.028,0.026,0.026,688300,0.026
2016-04-26,0.031,0.032,0.026,0.027,8862600,0.027
2016-04-25,0.03,0.03,0.03,0.03,000,0.03
2016-04-22,0.03,0.03,0.029,0.03,434600,0.03
2016-04-21,0.031,0.032,0.028,0.03,4413200,0.03
2016-04-20,0.03,0.031,0.028,0.03,7187000,0.03
2016-04-19,0.029,0.03,0.027,0.028,2995800,0.028
2016-04-18,0.027,0.028,0.026,0.028,2648200,0.028
2016-04-15,0.025,0.025,0.025,0.025,295000,0.025
2016-04-14,0.025,0.025,0.025,0.025,330300,0.025
2016-04-13,0.026,0.026,0.025,0.025,1299600,0.025
2016-04-12,0.027,0.027,0.026,0.026,821700,0.026
2016-04-11,0.025,0.026,0.025,0.026,756100,0.026
2016-04-08,0.024,0.025,0.024,0.025,320400,0.025
2016-04-07,0.023,0.023,0.023,0.023,89600,0.023
2016-04-06,0.023,0.023,0.023,0.023,384000,0.023
2016-04-05,0.024,0.024,0.024,0.024,000,0.024
2016-04-04,0.025,0.025,0.024,0.024,39200,0.024
2016-04-01,0.025,0.025,0.025,0.025,000,0.025
2016-03-31,0.023,0.025,0.023,0.025,280000,0.025
2016-03-30,0.025,0.025,0.024,0.024,2184100,0.024
2016-03-29,0.025,0.025,0.025,0.025,000,0.025
2016-03-28,0.025,0.025,0.025,0.025,000,0.025
2016-03-25,0.025,0.025,0.025,0.025,000,0.025
2016-03-24,0.022,0.025,0.022,0.025,701000,0.025
2016-03-23,0.024,0.025,0.024,0.024,530800,0.024
2016-03-22,0.025,0.025,0.024,0.024,1166500,0.024
2016-03-21,0.026,0.026,0.024,0.024,2209800,0.024
2016-03-18,0.026,0.026,0.025,0.025,2670000,0.025
