Date,Open,High,Low,Close,Volume,Adj Close
2016-06-29,0.003,0.003,0.003,0.003,000,0.003
2016-06-28,0.003,0.003,0.003,0.003,000,0.003
2016-06-27,0.003,0.003,0.003,0.003,000,0.003
2016-06-24,0.003,0.003,0.003,0.003,000,0.003
2016-06-23,0.003,0.003,0.003,0.003,000,0.003
2016-06-22,0.003,0.003,0.003,0.003,000,0.003
2016-06-21,0.003,0.003,0.003,0.003,000,0.003
2016-06-20,0.003,0.003,0.003,0.003,000,0.003
2016-06-17,0.003,0.003,0.003,0.003,000,0.003
2016-06-16,0.003,0.003,0.003,0.003,000,0.003
2016-06-15,0.003,0.003,0.003,0.003,000,0.003
2016-06-14,0.004,0.004,0.003,0.003,1042300,0.003
2016-06-13,0.003,0.003,0.003,0.003,000,0.003
2016-06-10,0.003,0.003,0.003,0.003,353300,0.003
2016-06-09,0.003,0.003,0.003,0.003,000,0.003
2016-06-08,0.003,0.003,0.003,0.003,100000,0.003
2016-06-07,0.002,0.002,0.002,0.002,000,0.002
2016-06-06,0.002,0.002,0.002,0.002,000,0.002
2016-06-03,0.002,0.002,0.002,0.002,000,0.002
2016-06-02,0.002,0.002,0.002,0.002,10000,0.002
2016-06-01,0.002,0.002,0.002,0.002,000,0.002
2016-05-31,0.002,0.002,0.002,0.002,100000,0.002
2016-05-30,0.002,0.002,0.002,0.002,000,0.002
2016-05-27,0.002,0.002,0.002,0.002,000,0.002
2016-05-26,0.002,0.002,0.002,0.002,142300,0.002
2016-05-25,0.003,0.003,0.003,0.003,000,0.003
2016-05-24,0.003,0.003,0.003,0.003,000,0.003
2016-05-23,0.003,0.003,0.002,0.003,777100,0.003
2016-05-20,0.004,0.004,0.004,0.004,2461100,0.004
2016-05-19,0.004,0.004,0.004,0.004,288800,0.004
2016-05-18,0.005,0.005,0.005,0.005,000,0.005
2016-05-17,0.005,0.005,0.005,0.005,110000,0.005
2016-05-16,0.004,0.004,0.004,0.004,000,0.004
2016-05-13,0.004,0.004,0.004,0.004,000,0.004
2016-05-12,0.004,0.004,0.004,0.004,000,0.004
2016-05-11,0.004,0.004,0.004,0.004,000,0.004
2016-05-10,0.004,0.004,0.004,0.004,000,0.004
2016-05-09,0.004,0.004,0.004,0.004,000,0.004
2016-05-06,0.004,0.004,0.004,0.004,000,0.004
