Date,Symbol,Order,Shares
2014-01-14,ALF,BUY,5988.0239521
2014-01-24,ALF,SELL,5988.0239521
2014-01-25,ALF,BUY,6024.09638554
2014-02-12,ALF,SELL,6024.09638554
2014-02-15,ALF,BUY,5934.71810089
2014-04-20,ALF,SELL,5934.71810089
2014-04-30,ALF,BUY,5952.38095238
2014-05-10,ALF,SELL,5952.38095238
2014-05-25,ALF,BUY,5917.15976331
2014-06-08,ALF,SELL,5917.15976331
2014-06-13,ALF,BUY,5830.90379009
2014-08-21,ALF,SELL,5830.90379009
2014-08-23,ALF,BUY,5813.95348837
2014-09-23,ALF,SELL,5813.95348837
2014-09-26,ALF,BUY,6097.56097561
2014-09-30,ALF,SELL,6097.56097561
2014-10-14,ALF,BUY,6349.20634921
2014-10-16,ALF,SELL,6349.20634921
2014-10-27,ALF,BUY,6329.11392405
2014-10-29,ALF,SELL,6329.11392405
2014-10-30,ALF,BUY,6230.52959502
2014-11-02,ALF,SELL,6230.52959502
2014-11-04,ALF,BUY,6309.14826498
2014-11-14,ALF,SELL,6309.14826498
2014-11-15,ALF,BUY,6493.50649351
2014-11-17,ALF,SELL,6493.50649351
2014-11-29,ALF,BUY,6369.42675159
2014-12-05,ALF,SELL,6369.42675159
2014-12-06,ALF,BUY,6578.94736842
2015-02-01,ALF,SELL,6578.94736842
2015-02-02,ALF,BUY,7142.85714286
2015-03-05,ALF,SELL,7142.85714286
2015-03-06,ALF,BUY,7246.37681159
2015-03-14,ALF,SELL,7246.37681159
2015-03-15,ALF,BUY,7246.37681159
2015-03-22,ALF,SELL,7246.37681159
2015-03-28,ALF,BUY,7812.5
2015-04-11,ALF,SELL,7812.5
2015-04-16,ALF,BUY,7722.00772201
2015-06-04,ALF,SELL,7722.00772201
2015-06-07,ALF,BUY,8474.57627119
2015-06-14,ALF,SELL,8474.57627119
2015-06-30,ALF,BUY,8130.08130081
2015-07-04,ALF,SELL,8130.08130081
2015-07-06,ALF,BUY,7812.5
2015-07-18,ALF,SELL,7812.5
2015-07-26,ALF,BUY,7407.40740741
2015-07-28,ALF,SELL,7407.40740741
2015-08-06,ALF,BUY,7462.68656716
2015-08-15,ALF,SELL,7462.68656716
2015-08-17,ALF,BUY,7575.75757576
2015-08-25,ALF,SELL,7575.75757576
2015-08-26,ALF,BUY,7407.40740741
2015-08-30,ALF,SELL,7407.40740741
2015-09-02,ALF,BUY,7299.27007299
2015-09-06,ALF,SELL,7299.27007299
2015-09-10,ALF,BUY,7142.85714286
2015-09-20,ALF,SELL,7142.85714286
2015-10-14,ALF,BUY,7272.72727273
2015-12-01,ALF,SELL,7272.72727273
2015-12-11,ALF,BUY,7142.85714286
2015-12-15,ALF,SELL,7142.85714286
2015-12-16,ALF,BUY,7142.85714286
2016-01-16,ALF,SELL,7142.85714286
2016-01-20,ALF,BUY,6920.41522491
2016-01-25,ALF,SELL,6920.41522491
2016-01-31,ALF,BUY,6849.31506849
2016-02-03,ALF,SELL,6849.31506849
2016-02-04,ALF,BUY,6802.72108844
2016-02-09,ALF,SELL,6802.72108844
2016-02-12,ALF,BUY,6734.00673401
2016-02-28,ALF,SELL,6734.00673401
2016-03-01,ALF,BUY,6711.40939597
2016-03-08,ALF,SELL,6711.40939597
2016-03-10,ALF,BUY,6666.66666667
2016-03-15,ALF,SELL,6666.66666667
2016-03-16,ALF,BUY,6666.66666667
2016-03-22,ALF,SELL,6666.66666667
2016-03-23,ALF,BUY,6535.94771242
2016-03-25,ALF,SELL,6535.94771242
2016-04-12,ALF,BUY,6825.93856655
2016-04-17,ALF,SELL,6825.93856655
2016-04-18,ALF,BUY,6993.00699301
2016-06-18,ALF,SELL,6993.00699301
2016-06-22,ALF,BUY,7042.25352113
