Date,Symbol,Order,Shares
2014-01-19,AUI,SELL,1173.70892019
2014-01-22,AUI,BUY,1173.70892019
2014-01-24,AUI,SELL,1257.86163522
2014-01-27,AUI,BUY,1257.86163522
2014-01-29,AUI,SELL,1265.82278481
2014-01-31,AUI,BUY,2480.88961349
2014-02-02,AUI,SELL,2430.13365735
2014-02-04,AUI,BUY,1215.06682868
2014-02-08,AUI,SELL,1259.44584383
2014-02-10,AUI,BUY,2511.0102994
2014-02-18,AUI,SELL,1251.56445557
2014-02-27,AUI,SELL,1254.70514429
2014-03-01,AUI,BUY,1254.70514429
2014-03-02,AUI,SELL,1177.85630153
2014-03-05,AUI,BUY,1177.85630153
2014-03-20,AUI,SELL,1250.0
2014-03-22,AUI,BUY,1250.0
2014-04-02,AUI,SELL,1173.70892019
2014-04-05,AUI,BUY,1173.70892019
2014-04-20,AUI,SELL,1173.70892019
2014-04-24,AUI,BUY,1173.70892019
2014-04-27,AUI,SELL,1173.70892019
2014-05-03,AUI,BUY,1173.70892019
2014-05-18,AUI,SELL,1173.70892019
2014-06-08,AUI,BUY,1173.70892019
2014-06-11,AUI,SELL,1173.70892019
2014-07-02,AUI,BUY,1173.70892019
2014-08-02,AUI,SELL,1166.86114352
2014-08-16,AUI,BUY,1166.86114352
2014-10-03,AUI,SELL,1132.38741238
2014-10-10,AUI,BUY,1132.38741238
2014-11-02,AUI,SELL,1149.42528736
2014-11-19,AUI,BUY,1149.42528736
2015-01-24,AUI,SELL,1219.51219512
2015-01-26,AUI,BUY,2439.02439024
2015-01-28,AUI,SELL,1219.51219512
2015-03-12,AUI,SELL,1091.70305677
2015-03-22,AUI,BUY,1091.70305677
2015-03-26,AUI,SELL,1170.96018735
2015-03-28,AUI,BUY,1170.96018735
2015-03-29,AUI,SELL,1092.9320087
2015-04-02,AUI,BUY,1092.9320087
2015-04-09,AUI,SELL,1092.9320087
2015-04-12,AUI,BUY,1092.9320087
2015-04-15,AUI,SELL,1183.43195266
2015-04-17,AUI,BUY,1183.43195266
2015-04-18,AUI,SELL,1094.09190372
2015-04-23,AUI,BUY,1094.09190372
2015-04-24,AUI,SELL,1094.09190372
2015-05-02,AUI,BUY,1094.09190372
2015-05-25,AUI,BUY,1200.48019208
2015-05-28,AUI,SELL,2314.06593818
2015-06-07,AUI,BUY,2331.61254269
2015-06-10,AUI,SELL,1218.02679659
2015-06-11,AUI,SELL,1117.31843575
2015-06-14,AUI,BUY,1117.31843575
2015-07-03,AUI,SELL,1117.31843575
2015-07-10,AUI,BUY,1117.31843575
2015-09-02,AUI,BUY,1141.55251142
2015-09-04,AUI,SELL,2283.10502283
2015-09-13,AUI,BUY,2423.60379347
2015-09-16,AUI,SELL,1282.05128205
2015-11-11,AUI,SELL,1364.25648022
2015-11-13,AUI,BUY,1364.25648022
2015-11-14,AUI,SELL,1275.51020408
2015-11-22,AUI,BUY,1275.51020408
2015-11-25,AUI,SELL,1275.51020408
2015-11-29,AUI,BUY,1275.51020408
2015-12-16,AUI,SELL,1385.04155125
2015-12-18,AUI,BUY,1385.04155125
2016-01-03,AUI,SELL,1298.7012987
2016-01-07,AUI,BUY,1298.7012987
2016-01-20,AUI,SELL,1410.43723554
2016-01-22,AUI,BUY,1410.43723554
2016-01-23,AUI,SELL,1400.56022409
2016-01-25,AUI,BUY,1400.56022409
2016-01-28,AUI,SELL,1381.21546961
2016-01-30,AUI,BUY,2754.84184324
2016-02-01,AUI,SELL,1373.62637363
2016-03-05,AUI,SELL,1436.7816092
2016-03-09,AUI,BUY,1436.7816092
2016-03-30,AUI,SELL,1447.17800289
2016-04-03,AUI,BUY,1447.17800289
2016-04-20,AUI,SELL,1428.57142857
2016-04-23,AUI,BUY,1428.57142857
2016-05-28,AUI,SELL,1375.51581843
2016-06-01,AUI,BUY,1375.51581843
2016-06-05,AUI,SELL,1302.08333333
2016-06-10,AUI,BUY,1302.08333333
2016-06-15,AUI,SELL,1278.77237852
2016-06-18,AUI,BUY,1278.77237852
2016-06-20,AUI,BUY,1388.88888889
2016-06-23,AUI,SELL,1388.88888889
2016-06-25,AUI,SELL,1278.77237852
