Date,Symbol,Order,Shares
2014-01-29,DJW,BUY,2145.92274678
2014-01-31,DJW,SELL,2145.92274678
2014-02-02,DJW,BUY,2816.90140845
2014-02-05,DJW,SELL,2816.90140845
2014-03-02,DJW,BUY,2680.96514745
2014-03-05,DJW,SELL,2680.96514745
2014-04-02,DJW,BUY,2217.29490022
2014-04-04,DJW,SELL,2217.29490022
2014-04-20,DJW,BUY,2673.79679144
2014-04-24,DJW,SELL,2673.79679144
2014-04-27,DJW,BUY,2673.79679144
2014-04-30,DJW,SELL,2673.79679144
2014-05-02,DJW,BUY,2232.14285714
2014-05-04,DJW,SELL,2232.14285714
2014-05-18,DJW,BUY,2638.52242744
2014-05-21,DJW,SELL,2638.52242744
2014-06-11,DJW,BUY,2604.16666667
2014-07-12,DJW,SELL,2604.16666667
2014-07-13,DJW,BUY,2659.57446809
2014-08-01,DJW,SELL,2659.57446809
2014-08-02,DJW,BUY,2557.54475703
2014-11-03,DJW,SELL,2557.54475703
2014-11-16,DJW,BUY,2710.02710027
2014-11-19,DJW,SELL,2710.02710027
2014-11-20,DJW,BUY,2710.02710027
2014-12-26,DJW,SELL,2710.02710027
2014-12-27,DJW,BUY,2832.8611898
2015-01-01,DJW,SELL,2832.8611898
2015-01-02,DJW,BUY,2808.98876404
2015-01-25,DJW,SELL,2808.98876404
2015-01-29,DJW,BUY,2808.98876404
2015-03-07,DJW,SELL,2808.98876404
2015-03-26,DJW,BUY,2666.66666667
2015-04-04,DJW,SELL,2666.66666667
2015-04-09,DJW,BUY,2702.7027027
2015-04-12,DJW,SELL,2702.7027027
2015-04-15,DJW,BUY,2702.7027027
2015-04-23,DJW,SELL,2702.7027027
2015-04-24,DJW,BUY,2702.7027027
2015-05-24,DJW,SELL,2702.7027027
2015-05-28,DJW,BUY,2732.24043716
2015-05-31,DJW,SELL,2732.24043716
2015-06-11,DJW,BUY,2724.79564033
2015-07-03,DJW,SELL,2724.79564033
2015-09-02,DJW,BUY,2739.7260274
2015-09-04,DJW,SELL,2739.7260274
2015-09-05,DJW,BUY,3144.65408805
2015-10-16,DJW,SELL,3144.65408805
2015-10-17,DJW,BUY,3267.97385621
2015-11-09,DJW,SELL,3267.97385621
2016-01-03,DJW,BUY,3115.26479751
2016-01-06,DJW,SELL,3115.26479751
2016-01-28,DJW,BUY,2369.66824645
2016-01-30,DJW,SELL,2369.66824645
2016-03-27,DJW,BUY,3521.12676056
2016-03-31,DJW,SELL,3521.12676056
2016-04-20,DJW,BUY,2450.98039216
2016-04-22,DJW,SELL,2450.98039216
2016-04-27,DJW,BUY,2481.38957816
2016-04-29,DJW,SELL,2481.38957816
2016-06-05,DJW,BUY,3115.26479751
2016-06-12,DJW,SELL,3115.26479751
2016-06-15,DJW,BUY,3115.26479751
2016-06-18,DJW,SELL,3115.26479751
2016-06-25,DJW,BUY,3115.26479751
