Date,Symbol,Order,Shares
2014-01-29,DUI,SELL,2857.14285714
2014-01-31,DUI,BUY,2857.14285714
2014-02-06,DUI,BUY,2898.55072464
2014-02-10,DUI,SELL,2898.55072464
2014-02-26,DUI,SELL,2840.90909091
2014-02-28,DUI,BUY,2840.90909091
2014-03-02,DUI,SELL,2673.79679144
2014-03-05,DUI,BUY,2673.79679144
2014-03-06,DUI,BUY,2816.90140845
2014-03-09,DUI,SELL,5476.47587654
2014-03-12,DUI,BUY,5492.43565789
2014-03-20,DUI,SELL,5714.70557021
2014-03-22,DUI,BUY,2881.8443804
2014-04-02,DUI,SELL,2793.29608939
2014-04-04,DUI,BUY,2793.29608939
2014-04-10,DUI,SELL,2793.29608939
2014-04-12,DUI,BUY,2793.29608939
2014-05-18,DUI,SELL,2659.57446809
2014-05-21,DUI,BUY,2659.57446809
2014-06-08,DUI,BUY,2808.98876404
2014-06-11,DUI,SELL,5468.56323213
2014-06-14,DUI,BUY,2659.57446809
2014-08-02,DUI,SELL,2659.57446809
2014-08-04,DUI,BUY,2659.57446809
2014-08-30,DUI,SELL,2525.25252525
2014-09-02,DUI,BUY,2525.25252525
2014-10-02,DUI,BUY,2563.64242315
2014-10-04,DUI,SELL,2563.64242315
2014-11-16,DUI,SELL,2590.67357513
2014-11-19,DUI,BUY,2590.67357513
2014-11-20,DUI,SELL,2590.67357513
2014-11-23,DUI,BUY,2590.67357513
2014-12-12,DUI,BUY,2777.77777778
2014-12-26,DUI,SELL,5555.55555556
2014-12-29,DUI,BUY,2777.77777778
2015-01-25,DUI,BUY,2932.55131965
2015-01-29,DUI,SELL,5649.942624
2015-02-01,DUI,BUY,2717.39130435
2015-03-12,DUI,SELL,2518.89168766
2015-03-15,DUI,BUY,2518.89168766
2015-03-25,DUI,SELL,3029.38503484
2015-03-27,DUI,BUY,3029.38503484
2015-04-02,DUI,SELL,2762.43093923
2015-04-05,DUI,BUY,2762.43093923
2015-04-06,DUI,SELL,2762.43093923
2015-04-08,DUI,BUY,2762.43093923
2015-04-12,DUI,SELL,2739.7260274
2015-04-18,DUI,BUY,2739.7260274
2015-04-24,DUI,SELL,2525.25252525
2015-04-27,DUI,BUY,2525.25252525
2015-06-11,DUI,SELL,2564.1025641
2015-06-14,DUI,BUY,2564.1025641
2015-07-02,DUI,BUY,2564.1025641
2015-07-04,DUI,SELL,2564.1025641
2015-07-10,DUI,BUY,2717.39130435
2015-07-20,DUI,SELL,2717.39130435
2015-08-02,DUI,SELL,2583.97932817
2015-08-05,DUI,BUY,2583.97932817
2015-08-15,DUI,SELL,2583.97932817
2015-08-18,DUI,BUY,2583.97932817
2015-09-03,DUI,SELL,2583.97932817
2015-09-06,DUI,BUY,2583.97932817
2016-01-03,DUI,SELL,2801.12044818
2016-01-06,DUI,BUY,2801.12044818
2016-01-09,DUI,SELL,2994.01197605
2016-01-11,DUI,BUY,2994.01197605
2016-01-28,DUI,SELL,3030.3030303
2016-01-30,DUI,BUY,3030.3030303
2016-02-20,DUI,SELL,3086.41975309
2016-02-22,DUI,BUY,3086.41975309
2016-04-20,DUI,SELL,3067.48466258
2016-04-22,DUI,BUY,3067.48466258
2016-06-05,DUI,SELL,2816.90140845
2016-06-08,DUI,BUY,2816.90140845
2016-06-15,DUI,SELL,2739.7260274
2016-06-18,DUI,BUY,2739.7260274
2016-06-25,DUI,SELL,2739.7260274
2016-06-28,DUI,BUY,2739.7260274
