Date,Symbol,Order,Shares
2014-01-29,HHV,SELL,9803.92156863
2014-01-31,HHV,BUY,9803.92156863
2014-02-02,HHV,SELL,8335.41718763
2014-02-05,HHV,BUY,8335.41718763
2014-02-23,HHV,BUY,9345.79439252
2014-03-02,HHV,SELL,17520.4040549
2014-03-05,HHV,BUY,8174.60966239
2014-04-02,HHV,SELL,9661.83574879
2014-04-04,HHV,BUY,9661.83574879
2014-04-20,HHV,SELL,8571.18368047
2014-04-23,HHV,BUY,8571.18368047
2014-04-27,HHV,SELL,8571.18368047
2014-04-30,HHV,BUY,8571.18368047
2014-05-02,HHV,SELL,9900.99009901
2014-05-04,HHV,BUY,9900.99009901
2014-05-18,HHV,SELL,8698.67780097
2014-05-21,HHV,BUY,8698.67780097
2014-06-11,HHV,SELL,8526.60300136
2014-06-14,HHV,BUY,8526.60300136
2014-07-13,HHV,SELL,8185.98559267
2014-07-16,HHV,BUY,8185.98559267
2014-08-02,HHV,SELL,8366.80053548
2014-08-05,HHV,BUY,8366.80053548
2014-08-17,HHV,SELL,8409.0144635
2014-08-20,HHV,BUY,8409.0144635
2014-11-16,HHV,SELL,7712.47879068
2014-11-19,HHV,BUY,7712.47879068
2015-01-23,HHV,SELL,7874.01574803
2015-01-25,HHV,BUY,7874.01574803
2015-01-29,HHV,SELL,7266.91374173
2015-02-01,HHV,BUY,7266.91374173
2015-03-19,HHV,SELL,7396.99681929
2015-03-21,HHV,BUY,7396.99681929
2015-03-26,HHV,SELL,7225.43352601
2015-03-29,HHV,BUY,7225.43352601
2015-04-02,HHV,BUY,8000.0
2015-04-09,HHV,SELL,15198.3875612
2015-04-12,HHV,BUY,7198.38756119
2015-04-15,HHV,SELL,7033.83273546
2015-04-18,HHV,BUY,7033.83273546
2015-04-24,HHV,SELL,7327.61779146
2015-04-27,HHV,BUY,7327.61779146
2015-06-11,HHV,SELL,6996.9213546
2015-06-15,HHV,BUY,6996.9213546
2015-10-17,HHV,SELL,7540.34082341
2015-10-20,HHV,BUY,7540.34082341
2016-01-03,HHV,SELL,7466.58702307
2016-01-06,HHV,BUY,7466.58702307
2016-01-28,HHV,SELL,8968.60986547
2016-01-30,HHV,BUY,8968.60986547
2016-03-12,HHV,BUY,8547.00854701
2016-03-26,HHV,SELL,8547.00854701
2016-03-27,HHV,SELL,7155.12306812
2016-03-30,HHV,BUY,7155.12306812
2016-04-20,HHV,SELL,8510.63829787
2016-04-22,HHV,BUY,8510.63829787
2016-04-27,HHV,SELL,8438.8185654
2016-04-29,HHV,BUY,8438.8185654
2016-06-05,HHV,SELL,7006.23554964
2016-06-08,HHV,BUY,7006.23554964
2016-06-15,HHV,SELL,6725.85418348
2016-06-18,HHV,BUY,6725.85418348
2016-06-25,HHV,SELL,6912.28312712
2016-06-28,HHV,BUY,6912.28312712
