Date,Symbol,Order,Shares
2014-04-20,TGG,SELL,7299.27007299
2014-04-25,TGG,BUY,7299.27007299
2014-04-27,TGG,SELL,7299.27007299
2014-05-01,TGG,BUY,7299.27007299
2014-05-02,TGG,SELL,8064.51612903
2014-05-04,TGG,BUY,8064.51612903
2014-05-18,TGG,SELL,7299.27007299
2014-06-03,TGG,BUY,7299.27007299
2014-06-04,TGG,SELL,7299.27007299
2014-06-08,TGG,BUY,7299.27007299
2014-06-15,TGG,SELL,7299.27007299
2014-07-12,TGG,BUY,7299.27007299
2015-06-11,TGG,SELL,6238.30318153
2015-07-02,TGG,BUY,6238.30318153
2015-07-03,TGG,SELL,7797.87897692
2015-07-07,TGG,BUY,7797.87897692
2015-08-02,TGG,SELL,6369.42675159
2015-08-07,TGG,BUY,6369.42675159
2015-08-15,TGG,SELL,6369.42675159
2015-09-02,TGG,BUY,6369.42675159
2015-10-03,TGG,SELL,6622.51655629
2015-10-10,TGG,BUY,6622.51655629
2015-10-17,TGG,SELL,7179.78173464
2015-11-30,TGG,BUY,7179.78173464
2016-01-03,TGG,SELL,6901.31124914
2016-01-08,TGG,BUY,6901.31124914
2016-01-28,TGG,SELL,8771.92982456
2016-01-30,TGG,BUY,8771.92982456
2016-02-17,TGG,SELL,9132.42009132
2016-02-19,TGG,BUY,9132.42009132
2016-03-16,TGG,SELL,8695.65217391
2016-03-19,TGG,BUY,8695.65217391
2016-03-27,TGG,SELL,7692.30769231
2016-04-01,TGG,BUY,7692.30769231
2016-04-20,TGG,SELL,8733.62445415
2016-04-22,TGG,BUY,8733.62445415
2016-04-27,TGG,SELL,8583.69098712
2016-04-29,TGG,BUY,8583.69098712
2016-06-05,TGG,SELL,7204.61095101
2016-06-11,TGG,BUY,7204.61095101
2016-06-15,TGG,SELL,7541.47812971
2016-06-19,TGG,BUY,7541.47812971
