Date,Symbol,Order,Shares
2014-01-23,WHF,BUY,2551.02040816
2014-01-26,WHF,SELL,4898.43824854
2014-01-29,WHF,BUY,2347.41784038
2014-01-30,WHF,BUY,2590.67357513
2014-02-02,WHF,SELL,5017.85804115
2014-02-06,WHF,BUY,2427.18446602
2014-03-02,WHF,SELL,2298.85057471
2014-03-05,WHF,BUY,2298.85057471
2014-04-02,WHF,SELL,2392.34449761
2014-04-06,WHF,BUY,2392.34449761
2014-04-20,WHF,SELL,2277.90432802
2014-05-06,WHF,BUY,2277.90432802
2014-05-18,WHF,SELL,2242.15246637
2014-05-31,WHF,BUY,2242.15246637
2014-06-01,WHF,SELL,2242.15246637
2014-06-08,WHF,BUY,2242.15246637
2014-06-11,WHF,SELL,2252.25225225
2014-07-03,WHF,BUY,2252.25225225
2014-08-02,WHF,SELL,2298.85057471
2014-08-04,WHF,BUY,2298.85057471
2014-08-13,WHF,SELL,2217.29490022
2014-08-16,WHF,BUY,2217.29490022
2014-08-17,WHF,SELL,2217.29490022
2014-09-11,WHF,BUY,2217.29490022
2014-10-03,WHF,SELL,2183.40611354
2014-10-15,WHF,BUY,2183.40611354
2014-11-02,WHF,SELL,2173.91304348
2014-11-06,WHF,BUY,2173.91304348
2014-11-13,WHF,SELL,2320.18561485
2014-11-15,WHF,BUY,2320.18561485
2014-11-16,WHF,SELL,2173.91304348
2014-11-19,WHF,BUY,2173.91304348
2014-11-20,WHF,SELL,2173.91304348
2014-12-04,WHF,BUY,4537.97923733
2014-12-06,WHF,SELL,2364.06619385
2014-12-07,WHF,SELL,2173.91304348
2014-12-13,WHF,BUY,2173.91304348
2014-12-17,WHF,SELL,2262.44343891
2014-12-22,WHF,BUY,2262.44343891
2014-12-24,WHF,SELL,2267.05962367
2015-01-14,WHF,BUY,2267.05962367
2015-01-15,WHF,SELL,2192.98245614
2015-01-18,WHF,BUY,2192.98245614
2015-01-21,WHF,SELL,2192.98245614
2015-02-21,WHF,BUY,2192.98245614
2015-03-08,WHF,SELL,1960.78431373
2015-04-03,WHF,BUY,1960.78431373
2015-04-09,WHF,SELL,1960.78431373
2015-04-23,WHF,BUY,1960.78431373
2015-04-24,WHF,SELL,1934.23597679
2015-05-02,WHF,BUY,1934.23597679
2015-05-24,WHF,BUY,2202.64317181
2015-05-26,WHF,SELL,2202.64317181
2015-05-28,WHF,SELL,2072.83958294
2015-06-19,WHF,BUY,2072.83958294
2015-07-03,WHF,SELL,2042.44194359
2015-07-15,WHF,BUY,2042.44194359
2015-09-30,WHF,SELL,2272.72727273
2015-10-02,WHF,BUY,2272.72727273
2015-11-18,WHF,SELL,2272.72727273
2015-11-25,WHF,BUY,2272.72727273
2015-11-26,WHF,SELL,2272.72727273
2015-11-29,WHF,BUY,2272.72727273
2015-12-12,WHF,SELL,2380.95238095
2015-12-18,WHF,BUY,2380.95238095
2016-01-03,WHF,SELL,2194.61879472
2016-01-06,WHF,BUY,2194.61879472
2016-01-28,WHF,SELL,2369.66824645
2016-02-03,WHF,BUY,2369.66824645
2016-02-20,WHF,SELL,2409.63855422
2016-02-22,WHF,BUY,2409.63855422
2016-03-05,WHF,SELL,2352.94117647
2016-03-08,WHF,BUY,2352.94117647
2016-04-20,WHF,SELL,2358.49056604
2016-04-24,WHF,BUY,2358.49056604
2016-04-27,WHF,SELL,2352.94117647
2016-05-01,WHF,BUY,2352.94117647
2016-06-05,WHF,SELL,2169.19739696
2016-06-12,WHF,BUY,4584.65633416
2016-06-15,WHF,SELL,4520.72209509
2016-06-18,WHF,BUY,2105.26315789
2016-06-25,WHF,SELL,2116.08862179
2016-07-01,WHF,BUY,2116.08862179
